title,address,price,duzenle,m2,rooms,furnished
House Prinses Margrietlaan,3051 AR Rotterdam (Hillegersberg Zuid),"€1,750 per month",55 m²/3 rooms/Furnished,55 m²,3 rooms,Furnished
Studio Schiedamsesingel,3012 BB Rotterdam (Cool),"€1,100 per month",25 m²/1 room/Furnished,25 m²,1 room,Furnished
Apartment Carel van Nieveltstraat,3031 RC Rotterdam (Rubroek),"€1,225 per month",50 m²/2 rooms/Furnished,50 m²,2 rooms,Furnished
Apartment Pompenburg,3032 EM Rotterdam (Oude Noorden),"€1,650 per month",70 m²/3 rooms/Furnished,70 m²,3 rooms,Furnished
House Burgemeester Meineszlaan,3022 BC Rotterdam (Nieuwe Westen),"€2,800 per month",82 m²/5 rooms,82 m²,5 rooms,
Apartment Oostmaaslaan,3063 AN Rotterdam (Struisenburg),"€1,450 per month",65 m²/3 rooms/Furnished,65 m²,3 rooms,Furnished
Apartment Polderlaan,3074 ME Rotterdam (Hillesluis),"€1,450 per month",100 m²/4 rooms/2008,100 m²,4 rooms,2008
Apartment Zaagmolenstraat 20 B,3035 HB Rotterdam (Oude Noorden),"€1,625 per month",124 m²/5 rooms/Shell,124 m²,5 rooms,Shell
Apartment Pleinweg 143 B*,3081 JK Rotterdam (Tarwewijk),€950 per month,55 m²/2 rooms/Upholstered,55 m²,2 rooms,Upholstered
Studio Nieuwe Binnenweg 226 B,3021 GM Rotterdam (Middelland),€650 per month,21 m²/1 room/Upholstered,21 m²,1 room,Upholstered
Apartment Kruiskade,3012 EG Rotterdam (Cool),"€2,150 per month",81 m²/4 rooms/Upholstered,81 m²,4 rooms,Upholstered
Apartment Oppert,3011 HV Rotterdam (Stadsdriehoek),"€2,990 per month",117 m²/4 rooms/Furnished,117 m²,4 rooms,Furnished
House Randweg 101 B,3074 BK Rotterdam (Hillesluis),"€1,325 per month",130 m²/4 rooms/Upholstered,130 m²,4 rooms,Upholstered
Apartment Goudsesingel,3031 EC Rotterdam (Rubroek),"€1,350 per month",69 m²/2 rooms/Furnished,69 m²,2 rooms,Furnished
Apartment Wilgenlei,3052 CJ Rotterdam (Schiebroek),"€1,250 per month",60 m²/3 rooms/Upholstered,60 m²,3 rooms,Upholstered
House Berkelselaan,3037 PB Rotterdam (Liskwartier),"€2,495 per month",120 m²/4 rooms/Furnished,120 m²,4 rooms,Furnished
Apartment Aelbrechtskolk,3025 HA Rotterdam (Bospolder),"€1,150 per month",61 m²/2 rooms/Upholstered,61 m²,2 rooms,Upholstered
Apartment Abraham Kuyperlaan,3038 PD Rotterdam (Bergpolder),"€1,100 per month",40 m²/1 room/Furnished,40 m²,1 room,Furnished
Apartment Gedempte Zalmhaven,3016 DT Rotterdam (Nieuwe Werk),"€3,450 per month",111 m²/4 rooms/Furnished,111 m²,4 rooms,Furnished
Apartment Aegidiusstraat,3061 XR Rotterdam (Kralingen West),"€1,295 per month",120 m²/3 rooms/Shell,120 m²,3 rooms,Shell
Apartment Jufferstraat 324,3011 XM Rotterdam (Stadsdriehoek),"€1,895 per month",91 m²/3 rooms/Upholstered or furnished,91 m²,3 rooms,Upholstered or furnished
Apartment Jan Pettersonstraat,3077 MN Rotterdam (Oud IJsselmonde),"€1,750 per month",88 m²/3 rooms/Upholstered,88 m²,3 rooms,Upholstered
Apartment Handelsplein,3071 PR Rotterdam (Kop van Zuid - Entrepot),"€2,100 per month",140 m²/3 rooms/Furnished,140 m²,3 rooms,Furnished
Apartment Bree,3074 BB Rotterdam (Hillesluis),€975 per month,65 m²/2 rooms/Upholstered,65 m²,2 rooms,Upholstered
Apartment Ochterveltstraat,3015 XL Rotterdam (Oude Westen),"€1,150 per month",65 m²/2 rooms/Furnished,65 m²,2 rooms,Furnished
Apartment Oostmaaslaan,3063 AV Rotterdam (Struisenburg),"€1,850 per month",55 m²/2 rooms/Furnished,55 m²,2 rooms,Furnished
Apartment Baan,3011 CC Rotterdam (Stadsdriehoek),"€1,825 per month",60 m²/2 rooms/Furnished,60 m²,2 rooms,Furnished
Apartment Walenburgerweg,3039 AD Rotterdam (Provenierswijk),"€1,750 per month",84 m²/2 rooms/Furnished,84 m²,2 rooms,Furnished
Apartment Van Eversdijckstraat,3083 MB Rotterdam (Carnisse),"€1,450 per month",95 m²/4 rooms/Furnished,95 m²,4 rooms,Furnished
Room Nieuwenhoornstraat,3082 VK Rotterdam (Oud Charlois),€685 per month,15 m²/1 room/Furnished,15 m²,1 room,Furnished
Apartment Houtlaan,3016 DA Rotterdam (Nieuwe Werk),"€2,600 per month",125 m²/3 rooms/Upholstered,125 m²,3 rooms,Upholstered
Studio Ossenisseweg,3086 KV Rotterdam (Pendrecht),€950 per month,30 m²/1 room/Furnished,30 m²,1 room,Furnished
Apartment Mathenesserweg 72 03,3026 HE Rotterdam (Spangen),"€1,850 per month",115 m²/6 rooms/1926,115 m²,6 rooms,1926
Apartment Oppert,3011 HV Rotterdam (Stadsdriehoek),"€1,900 per month",93 m²/3 rooms/Furnished,93 m²,3 rooms,Furnished
Apartment Watertorenweg,3063 HA Rotterdam (De Esch),"€1,150 per month",53 m²/2 rooms/Furnished,53 m²,2 rooms,Furnished
Apartment De Savornin Lohmanlaan 87 A02,3038 NE Rotterdam (Bergpolder),"€1,495 per month",95 m²/3 rooms/Furnished,95 m²,3 rooms,Furnished
Apartment Stationssingel,3033 HE Rotterdam (Provenierswijk),"€1,595 per month",99 m²/3 rooms/Upholstered,99 m²,3 rooms,Upholstered
Apartment Oostmaaslaan,3063 AN Rotterdam (Struisenburg),"€1,450 per month",65 m²/3 rooms/Furnished,65 m²,3 rooms,Furnished
Apartment Van der Horststraat 4,3039 VK Rotterdam (Blijdorp),"€2,150 per month",104 m²/4 rooms/Upholstered,104 m²,4 rooms,Upholstered
Apartment Vondelweg,3031 PW Rotterdam (Rubroek),"€1,350 per month",65 m²/2 rooms/Furnished,65 m²,2 rooms,Furnished
Apartment Wijnhaven 65 C27,3011 WJ Rotterdam (Stadsdriehoek),"€3,100 per month",136 m²/4 rooms/Upholstered,136 m²,4 rooms,Upholstered
Apartment Wijnhaven 65 B27,3011 WJ Rotterdam (Stadsdriehoek),"€2,750 per month",122 m²/3 rooms/Upholstered,122 m²,3 rooms,Upholstered
Apartment Wijnhaven 65 A27,3011 WJ Rotterdam (Stadsdriehoek),"€2,200 per month",95 m²/3 rooms/Upholstered,95 m²,3 rooms,Upholstered
Apartment Graaf Balderikstraat,3032 HC Rotterdam (Oude Noorden),"€1,350 per month",52 m²/2 rooms/Furnished,52 m²,2 rooms,Furnished
Apartment Osseweistraat 29 B,3023 DB Rotterdam (Nieuwe Westen),"€2,950 per month",100 m²/6 rooms/Upholstered,100 m²,6 rooms,Upholstered
Apartment Karel Doormanstraat,3012 GH Rotterdam (Cool),"€1,150 per month",45 m²/2 rooms/Upholstered,45 m²,2 rooms,Upholstered
Apartment Meent,3011 JE Rotterdam (Stadsdriehoek),"€1,995 per month",80 m²/4 rooms/Furnished,80 m²,4 rooms,Furnished
Apartment Rijsoordstraat 65 A,3081 BT Rotterdam (Tarwewijk),€850 per month,25 m²/1 room/1933,25 m²,1 room,1933
Apartment Carnisselaan,3083 HB Rotterdam (Carnisse),"€1,395 per month",52 m²/3 rooms/Upholstered,52 m²,3 rooms,Upholstered
Apartment Lambertusstraat,3062 XB Rotterdam (Kralingen Oost),"€1,495 per month",50 m²/2 rooms/Furnished,50 m²,2 rooms,Furnished
Apartment Wilhelminakade,3072 AP Rotterdam (Kop van Zuid),"€3,650 per month",106 m²/3 rooms/Furnished,106 m²,3 rooms,Furnished
Apartment Burgemeester Roosstraat,3035 AH Rotterdam (Oude Noorden),"€1,350 per month",66 m²/3 rooms/Upholstered,66 m²,3 rooms,Upholstered
Apartment Blankershoek 9,3085 EC Rotterdam (Zuidwijk),€895 per month,65 m²/3 rooms/Upholstered,65 m²,3 rooms,Upholstered
Apartment Socratesstraat 89,3076 BT Rotterdam (Lombardijen),"€1,050 per month",65 m²/2 rooms/1964,65 m²,2 rooms,1964
Apartment Cor Kieboomplein,3077 MK Rotterdam (Oud IJsselmonde),"€1,695 per month",86 m²/3 rooms/Upholstered,86 m²,3 rooms,Upholstered
Apartment Notenoord,3079 LR Rotterdam (Groot IJsselmonde),€795 per month,43 m²/2 rooms/Upholstered,43 m²,2 rooms,Upholstered
Apartment Crooswijksestraat,3034 AM Rotterdam (Oud Crooswijk),"€1,750 per month",86 m²/4 rooms/Upholstered,86 m²,4 rooms,Upholstered
Apartment Sint-Jobstraat,3024 EG Rotterdam (Schiemond),"€1,900 per month",103 m²/3 rooms/Furnished,103 m²,3 rooms,Furnished
Apartment Baan,3011 CC Rotterdam (Stadsdriehoek),"€2,150 per month",74 m²/3 rooms/Furnished,74 m²,3 rooms,Furnished
Apartment Laan op Zuid,3071 AA Rotterdam (Kop van Zuid),"€1,895 per month",139 m²/4 rooms/Upholstered,139 m²,4 rooms,Upholstered
Apartment Narcissenstraat,3073 CM Rotterdam (Bloemhof),€910 per month,32 m²/2 rooms/Upholstered,32 m²,2 rooms,Upholstered
Apartment West-Varkenoordseweg 215 B02,3074 HT Rotterdam (Hillesluis),€925 per month,50 m²/2 rooms/Upholstered,50 m²,2 rooms,Upholstered
Apartment Gordelweg 147 B,3038 GD Rotterdam (Bergpolder),"€1,250 per month",65 m²/3 rooms/Upholstered,65 m²,3 rooms,Upholstered
Apartment Sikkelstraat,3075 CK Rotterdam (Vreewijk),"€1,200 per month",49 m²/2 rooms/Upholstered,49 m²,2 rooms,Upholstered
Apartment Bulgersteyn,3011 AB Rotterdam (Stadsdriehoek),"€1,995 per month",91 m²/3 rooms/Furnished,91 m²,3 rooms,Furnished
Apartment Karel Doormanstraat 283 D,3012 GH Rotterdam (Cool),"€1,650 per month",90 m²/3 rooms/Furnished,90 m²,3 rooms,Furnished
Apartment Schiedamseweg,3026 AG Rotterdam (Tussendijken),"€1,600 per month",50 m²/3 rooms/Furnished,50 m²,3 rooms,Furnished
Apartment Walenburgerweg,3033 AJ Rotterdam (Provenierswijk),"€1,995 per month",125 m²/6 rooms/Upholstered,125 m²,6 rooms,Upholstered
Apartment Stationssingel,3033 HE Rotterdam (Provenierswijk),"€1,595 per month",99 m²/3 rooms/Upholstered,99 m²,3 rooms,Upholstered
Apartment Oostmaaslaan,3063 AN Rotterdam (Struisenburg),"€1,450 per month",65 m²/3 rooms/Furnished,65 m²,3 rooms,Furnished
Apartment Van Swietenlaan 23 A,3083 DS Rotterdam (Zuidplein),"€2,400 per month",142 m²/4 rooms/Upholstered or furnished,142 m²,4 rooms,Upholstered or furnished
Apartment Wijnhaven 65 D01,3011 WJ Rotterdam (Stadsdriehoek),"€1,300 per month",50 m²/2 rooms/Upholstered,50 m²,2 rooms,Upholstered
Apartment Putsebocht 153 A,3073 HH Rotterdam (Bloemhof),"€1,250 per month",75 m²/4 rooms/Upholstered,75 m²,4 rooms,Upholstered
Studio Essenburgsingel,3022 EM Rotterdam (Nieuwe Westen),€895 per month,31 m²/1 room/Furnished,31 m²,1 room,Furnished
Apartment Scheepmakerskade,3011 VX Rotterdam (Stadsdriehoek),"€1,750 per month",75 m²/3 rooms/Furnished,75 m²,3 rooms,Furnished
Apartment Van Vollenhovenstraat,3016 BE Rotterdam (Nieuwe Werk),"€1,350 per month",52 m²/2 rooms/Furnished,52 m²,2 rooms,Furnished
Apartment Spoorweghaven,3071 ZG Rotterdam (Kop van Zuid - Entrepot),"€1,500 per month",91 m²/3 rooms/Furnished,91 m²,3 rooms,Furnished
Apartment Dorpsweg,3083 LA Rotterdam (Oud Charlois),"€1,245 per month",65 m²/3 rooms/Upholstered,65 m²,3 rooms,Upholstered
Apartment Ganzerikplein,3053 EA Rotterdam (Schiebroek),"€1,050 per month",44 m²/2 rooms/Upholstered,44 m²,2 rooms,Upholstered
Apartment Wilhelminakade 373,3072 AP Rotterdam (Kop van Zuid),"€1,600 per month",60 m²/2 rooms/Upholstered or furnished,60 m²,2 rooms,Upholstered or furnished
Apartment Wapenstraat 51,3074 ZR Rotterdam (Hillesluis),€775 per month,26 m²/2 rooms/1906-1930,26 m²,2 rooms,1906-1930
House Jan Meertensstraat,3065 PB Rotterdam ('s-Gravenland),"€2,950 per month",200 m²/6 rooms/Furnished,200 m²,6 rooms,Furnished
Apartment Carel van Nieveltstraat 29 B,3031 RB Rotterdam (Rubroek),"€1,750 per month",71 m²/4 rooms/Upholstered,71 m²,4 rooms,Upholstered
Apartment Quadenoord 200,3079 XJ Rotterdam (Groot IJsselmonde),€895 per month,60 m²/3 rooms/2000,60 m²,3 rooms,2000
House Claes de Vrieselaan,3021 JE Rotterdam (Middelland),"€1,995 per month",65 m²/2 rooms/Furnished,65 m²,2 rooms,Furnished
Apartment Baan,3011 CC Rotterdam (Stadsdriehoek),"€2,595 per month",80 m²/3 rooms/Furnished,80 m²,3 rooms,Furnished
Room Leeuwenstraat,3011 AL Rotterdam (Stadsdriehoek),€695 per month,15 m²/1 room/Upholstered,15 m²,1 room,Upholstered
House Verwoldestraat,3077 HR Rotterdam (Beverwaard),"€2,095 per month",114 m²/5 rooms/Furnished,114 m²,5 rooms,Furnished
Apartment Oudedijk,3061 AX Rotterdam (Kralingen West),"€2,400 per month",115 m²/3 rooms/Upholstered,115 m²,3 rooms,Upholstered
Apartment Jan Willem Frisostraat,3051 EJ Rotterdam (Hillegersberg Zuid),"€1,025 per month",71 m²/3 rooms/Upholstered,71 m²,3 rooms,Upholstered
Apartment Wilgenplaslaan,3052 SN Rotterdam (Schiebroek),"€1,095 per month",65 m²/1 room/Upholstered,65 m²,1 room,Upholstered
Apartment Gordelweg,3038 GG Rotterdam (Bergpolder),"€1,395 per month",100 m²/2 rooms/Upholstered,100 m²,2 rooms,Upholstered
Apartment Korhaanstraat,3083 XD Rotterdam (Carnisse),€650 per month,47 m²/3 rooms/1947,47 m²,3 rooms,1947
House Nina Riccistraat,3059 MD Rotterdam (Nesselande),"€1,950 per month",118 m²/4 rooms/Furnished,118 m²,4 rooms,Furnished
Apartment Sonmansstraat 107 B03,3039 DH Rotterdam (Blijdorp),"€2,250 per month",88 m²/5 rooms/50 m²,88 m²,5 rooms,50 m²
Apartment Gordelweg,3039 GB Rotterdam (Blijdorp),"€1,495 per month",63 m²/2 rooms/Furnished,63 m²,2 rooms,Furnished
Apartment Buitenbassinweg,3063 TC Rotterdam (De Esch),"€1,595 per month",83 m²/3 rooms/Furnished,83 m²,3 rooms,Furnished
Apartment Gerard Scholtenstraat 57 A02,3035 SE Rotterdam (Oude Noorden),"€1,675 per month",75 m²/4 rooms/Upholstered,75 m²,4 rooms,Upholstered
Apartment Strevelsweg,3073 DS Rotterdam (Bloemhof),"€1,095 per month",52 m²/2 rooms/Upholstered,52 m²,2 rooms,Upholstered
Apartment Borgesiusstraat,3038 TG Rotterdam (Bergpolder),"€1,195 per month",50 m²/2 rooms/Upholstered,50 m²,2 rooms,Upholstered
House Burgemeester Meineszlaan,3022 BC Rotterdam (Nieuwe Westen),"€2,800 per month",82 m²/5 rooms,82 m²,5 rooms,
Apartment Oostmaaslaan,3063 AN Rotterdam (Struisenburg),"€1,450 per month",65 m²/3 rooms/Furnished,65 m²,3 rooms,Furnished
Apartment Tandwielstraat 419,3083 AV Rotterdam (Vreewijk),€682 per month,24 m²/1 room/Upholstered,24 m²,1 room,Upholstered
Apartment Landverhuizersplein 139,3072 MH Rotterdam (Kop van Zuid),"€3,100 per month",166 m²/3 rooms/Upholstered,166 m²,3 rooms,Upholstered
Apartment Noorderhavenkade 116 B03,3038 XR Rotterdam (Bergpolder),"€1,595 per month",80 m²/4 rooms/1934,80 m²,4 rooms,1934
Apartment Belgischestraat,3028 TJ Rotterdam (Oud Mathenesse),"€1,350 per month",53 m²/4 rooms/Upholstered,53 m²,4 rooms,Upholstered
Apartment Schiedamseweg,3026 AG Rotterdam (Tussendijken),"€1,395 per month",70 m²/3 rooms/Upholstered,70 m²,3 rooms,Upholstered
Apartment Noorderhavenkade,3038 XL Rotterdam (Bergpolder),"€1,495 per month",80 m²/3 rooms/Furnished,80 m²,3 rooms,Furnished
House Goudsesingel,3011 KR Rotterdam (Stadsdriehoek),"€2,350 per month",108 m²/4 rooms/Upholstered,108 m²,4 rooms,Upholstered
Apartment Dordtselaan,3081 BN Rotterdam (Tarwewijk),"€1,450 per month",95 m²/3 rooms/Upholstered,95 m²,3 rooms,Upholstered
Apartment Baan 62 H,3011 CC Rotterdam (Stadsdriehoek),"€2,200 per month",114 m²/4 rooms/Upholstered,114 m²,4 rooms,Upholstered
Apartment Librijesteeg,3011 HN Rotterdam (Stadsdriehoek),"€1,745 per month",80 m²/2 rooms/Furnished,80 m²,2 rooms,Furnished
Apartment Van Vollenhovenstraat,3016 BE Rotterdam (Nieuwe Werk),"€1,500 per month",50 m²/2 rooms/Furnished,50 m²,2 rooms,Furnished
Apartment Botersloot,3011 HH Rotterdam (Stadsdriehoek),"€1,450 per month",60 m²/2 rooms/Furnished,60 m²,2 rooms,Furnished
Apartment IJsclubstraat 21 B,3061 GR Rotterdam (Kralingen West),"€1,100 per month",104 m²/2 rooms/Furnished,104 m²,2 rooms,Furnished
Apartment Meeuwenstraat 8 D,3071 PE Rotterdam (Noordereiland),"€1,500 per month",73 m²/3 rooms/Upholstered,73 m²,3 rooms,Upholstered
Apartment 2e Middellandstraat 9 A02,3021 BL Rotterdam (Middelland),"€1,395 per month",65 m²/3 rooms/Upholstered,65 m²,3 rooms,Upholstered
Apartment Tapuitstraat,3083 WV Rotterdam (Carnisse),"€1,600 per month",84 m²/4 rooms/1945-1959,84 m²,4 rooms,1945-1959
Apartment Noorderhavenkade 11 a2,3039 RC Rotterdam (Blijdorp),"€1,400 per month",90 m²/2 rooms/Furnished,90 m²,2 rooms,Furnished
Apartment Spanjaardstraat,3025 TM Rotterdam (Bospolder),"€1,795 per month",130 m²/3 rooms/Upholstered,130 m²,3 rooms,Upholstered
Apartment Baan,3011 CC Rotterdam (Stadsdriehoek),"€2,495 per month",60 m²/2 rooms/Furnished,60 m²,2 rooms,Furnished
Apartment Klaverstraat 132 A,3083 VN Rotterdam (Carnisse),"€1,125 per month",61 m²/3 rooms/Upholstered,61 m²,3 rooms,Upholstered
Apartment 's-Gravendijkwal,3014 EK Rotterdam (Oude Westen),"€2,100 per month",75 m²/3 rooms/Furnished,75 m²,3 rooms,Furnished
Apartment Houtlaan 34 A,3016 DA Rotterdam (Nieuwe Werk),"€2,700 per month",123 m²/3 rooms/Upholstered or furnished,123 m²,3 rooms,Upholstered or furnished
Apartment Toutenburgplantsoen,3077 PP Rotterdam (Beverwaard),"€1,650 per month",74 m²/3 rooms/Furnished,74 m²,3 rooms,Furnished
