title,address,price,duzenle,m2,rooms,furnished
Apartment Zegenstraat,3082 XW Rotterdam (Oud Charlois),"€1,050 per month",90 m²/3 rooms/Upholstered,90 m²,3 rooms,Upholstered
Apartment Walenburgerweg,3033 AJ Rotterdam (Provenierswijk),"€1,695 per month",97 m²/5 rooms/Upholstered,97 m²,5 rooms,Upholstered
Apartment Maaskade,3071 NH Rotterdam (Noordereiland),"€1,095 per month",60 m²/2 rooms/Upholstered,60 m²,2 rooms,Upholstered
Apartment Pleinweg,3083 EH Rotterdam (Carnisse),"€1,195 per month",87 m²/3 rooms/Upholstered,87 m²,3 rooms,Upholstered
Apartment Jacob Catsstraat,3035 PS Rotterdam (Oude Noorden),€790 per month,45 m²/1 room/Upholstered,45 m²,1 room,Upholstered
Apartment Mathenesserdijk 109 B 04,3027 BE Rotterdam (Spangen),€825 per month,50 m²/4 rooms/1925,50 m²,4 rooms,1925
Apartment Van der Horststraat,3039 VJ Rotterdam (Blijdorp),"€1,295 per month",63 m²/2 rooms/Furnished,63 m²,2 rooms,Furnished
Apartment Samuel Soesmanstraat,3015 GL Rotterdam (Dijkzigt),"€1,795 per month",59 m²/2 rooms/Furnished,59 m²,2 rooms,Furnished
Apartment Pompenburg 220,3032 EM Rotterdam (Oude Noorden),"€1,400 per month",62 m²/3 rooms/Shell,62 m²,3 rooms,Shell
Apartment Schinkelstraat,3061 MN Rotterdam (Kralingen West),"€2,000 per month",90 m²/3 rooms/Furnished,90 m²,3 rooms,Furnished
Apartment Gedempte Zalmhaven 749,3011 BT Rotterdam (Stadsdriehoek),"€2,450 per month",96 m²/3 rooms/Upholstered,96 m²,3 rooms,Upholstered
House Mecklenburgplein 6 *,3062 BL Rotterdam (Kralingen Oost),"€3,995 per month",260 m²/8 rooms/140 m²,260 m²,8 rooms,140 m²
Apartment Karel Doormanstraat,3012 GH Rotterdam (Cool),"€1,745 per month",80 m²/2 rooms/Furnished,80 m²,2 rooms,Furnished
Apartment Van Vollenhovenstraat,3016 BE Rotterdam (Nieuwe Werk),"€2,350 per month",104 m²/3 rooms/Furnished,104 m²,3 rooms,Furnished
Apartment Stationssingel,3033 HD Rotterdam (Provenierswijk),"€1,750 per month",94 m²/4 rooms/Furnished,94 m²,4 rooms,Furnished
Apartment Bergselaan,3038 CT Rotterdam (Bergpolder),"€1,395 per month",72 m²/4 rooms/Upholstered or furnished,72 m²,4 rooms,Upholstered or furnished
Apartment Maaskade 28 D,3071 NB Rotterdam (Noordereiland),"€1,450 per month",70 m²/3 rooms/Upholstered,70 m²,3 rooms,Upholstered
Apartment Schiedamseweg,3026 AG Rotterdam (Tussendijken),"€1,600 per month",50 m²/3 rooms/Furnished,50 m²,3 rooms,Furnished
Apartment Wierdsmaplein,3072 MJ Rotterdam (Kop van Zuid),"€5,500 per month",170 m²/3 rooms/Furnished,170 m²,3 rooms,Furnished
House Burgemeester Meineszlaan,3022 BC Rotterdam (Nieuwe Westen),"€2,800 per month",82 m²/5 rooms,82 m²,5 rooms,
Apartment Oostmaaslaan,3063 AN Rotterdam (Struisenburg),"€1,450 per month",65 m²/3 rooms/Furnished,65 m²,3 rooms,Furnished
Apartment Henegouwerlaan 43 C1,3021 CR Rotterdam (Middelland),"€1,450 per month",62 m²/3 rooms/Upholstered or furnished,62 m²,3 rooms,Upholstered or furnished
Studio Noordschans,3026 VZ Rotterdam (Tussendijken),"€1,750 per month",54 m²/2 rooms/Furnished,54 m²,2 rooms,Furnished
Apartment Van Cittersstraat,3022 LH Rotterdam (Nieuwe Westen),"€1,795 per month",125 m²/3 rooms/Upholstered or furnished,125 m²,3 rooms,Upholstered or furnished
Apartment Strevelsweg,3083 LX Rotterdam (Vreewijk),"€1,295 per month",80 m²/3 rooms/Upholstered,80 m²,3 rooms,Upholstered
Apartment Oostmaaslaan,3063 AV Rotterdam (Struisenburg),"€1,950 per month",102 m²/3 rooms/Furnished,102 m²,3 rooms,Furnished
Apartment Tapuitstraat 78 C,3083 WV Rotterdam (Carnisse),€875 per month,60 m²/3 rooms/Upholstered,60 m²,3 rooms,Upholstered
Apartment Van Vollenhovenstraat,3016 BE Rotterdam (Nieuwe Werk),"€1,550 per month",79 m²/3 rooms/Upholstered,79 m²,3 rooms,Upholstered
Apartment Blaak,3011 GB Rotterdam (Stadsdriehoek),"€1,395 per month",70 m²/2 rooms/Furnished,70 m²,2 rooms,Furnished
Apartment Specerijenhof,3063 BX Rotterdam (Struisenburg),"€1,850 per month",100 m²/2 rooms/Furnished,100 m²,2 rooms,Furnished
Apartment Voetjesstraat,3081 HS Rotterdam (Tarwewijk),"€1,250 per month",74 m²/4 rooms/Upholstered,74 m²,4 rooms,Upholstered
Apartment 's-Gravenweg,3065 SC Rotterdam ('s-Gravenland),"€1,125 per month",58 m²/2 rooms/Shell,58 m²,2 rooms,Shell
Apartment Aernt Bruunstraat,3067 JA Rotterdam (Het Lage Land),€950 per month,90 m²/3 rooms/Shell,90 m²,3 rooms,Shell
Apartment Wierdsmaplein,3072 MJ Rotterdam (Kop van Zuid),"€2,460 per month",140 m²/3 rooms/Furnished,140 m²,3 rooms,Furnished
Apartment Joost van Geelstraat,3021 VJ Rotterdam (Middelland),"€1,150 per month",70 m²/3 rooms/Upholstered,70 m²,3 rooms,Upholstered
Apartment Westersingel,3014 GS Rotterdam (Oude Westen),"€2,150 per month",115 m²/3 rooms/Furnished,115 m²,3 rooms,Furnished
Apartment Heiman Dullaertplein 154,3024 CD Rotterdam (Delfshaven),"€2,300 per month",206 m²/5 rooms/2020,206 m²,5 rooms,2020
Apartment Weena 931,3013 AL Rotterdam (Cs Kwartier),"€1,900 per month",130 m²/4 rooms/Furnished,130 m²,4 rooms,Furnished
Apartment Schiedamsedijk,3011 EE Rotterdam (Stadsdriehoek),"€1,495 per month",75 m²/3 rooms/Upholstered,75 m²,3 rooms,Upholstered
Apartment Wijnkade,3011 VZ Rotterdam (Stadsdriehoek),"€1,850 per month",109 m²/4 rooms/Upholstered or furnished,109 m²,4 rooms,Upholstered or furnished
Apartment Buffelstraat,3064 AD Rotterdam (Kralingseveer),"€1,275 per month",62 m²/3 rooms/Upholstered,62 m²,3 rooms,Upholstered
Apartment Spanjaardstraat 113 a 03,3025 TM Rotterdam (Bospolder),"€1,050 per month",52 m²/2 rooms/Upholstered,52 m²,2 rooms,Upholstered
Apartment Mendelssohnlaan 103,3055 HK Rotterdam (Molenlaankwartier),"€1,450 per month",90 m²/3 rooms/Upholstered,90 m²,3 rooms,Upholstered
Apartment Witte de Withstraat,3012 BM Rotterdam (Cool),"€1,150 per month",60 m²/2 rooms/Furnished,60 m²,2 rooms,Furnished
Apartment Schonebergerweg,3023 ZH Rotterdam (Nieuwe Westen),"€1,200 per month",45 m²/2 rooms/Furnished,45 m²,2 rooms,Furnished
Apartment Heemraadssingel 108 AI,3021 DH Rotterdam (Middelland),"€1,650 per month",97 m²/3 rooms/Upholstered,97 m²,3 rooms,Upholstered
Apartment Zaagmolenstraat,3036 HN Rotterdam (Oude Noorden),"€1,495 per month",105 m²/2 rooms/Upholstered or furnished,105 m²,2 rooms,Upholstered or furnished
House Prinses Margrietlaan,3051 AR Rotterdam (Hillegersberg Zuid),"€1,750 per month",55 m²/3 rooms/Furnished,55 m²,3 rooms,Furnished
Studio Schiedamsesingel,3012 BB Rotterdam (Cool),"€1,100 per month",25 m²/1 room/Furnished,25 m²,1 room,Furnished
Apartment Carel van Nieveltstraat,3031 RC Rotterdam (Rubroek),"€1,225 per month",50 m²/2 rooms/Furnished,50 m²,2 rooms,Furnished
Apartment Pompenburg,3032 EM Rotterdam (Oude Noorden),"€1,650 per month",70 m²/3 rooms/Furnished,70 m²,3 rooms,Furnished
Apartment Stationssingel,3033 HE Rotterdam (Provenierswijk),"€1,595 per month",99 m²/3 rooms/Upholstered,99 m²,3 rooms,Upholstered
Apartment Oostmaaslaan,3063 AN Rotterdam (Struisenburg),"€1,450 per month",65 m²/3 rooms/Furnished,65 m²,3 rooms,Furnished
Apartment Polderlaan,3074 ME Rotterdam (Hillesluis),"€1,450 per month",100 m²/4 rooms/2008,100 m²,4 rooms,2008
Apartment Zaagmolenstraat 20 B,3035 HB Rotterdam (Oude Noorden),"€1,625 per month",124 m²/5 rooms/Shell,124 m²,5 rooms,Shell
Apartment Pleinweg 143 B*,3081 JK Rotterdam (Tarwewijk),€950 per month,55 m²/2 rooms/Upholstered,55 m²,2 rooms,Upholstered
Studio Nieuwe Binnenweg 226 B,3021 GM Rotterdam (Middelland),€650 per month,21 m²/1 room/Upholstered,21 m²,1 room,Upholstered
Apartment Kruiskade,3012 EG Rotterdam (Cool),"€2,150 per month",81 m²/4 rooms/Upholstered,81 m²,4 rooms,Upholstered
Apartment Oppert,3011 HV Rotterdam (Stadsdriehoek),"€2,990 per month",117 m²/4 rooms/Furnished,117 m²,4 rooms,Furnished
House Randweg 101 B,3074 BK Rotterdam (Hillesluis),"€1,325 per month",130 m²/4 rooms/Upholstered,130 m²,4 rooms,Upholstered
Apartment Goudsesingel,3031 EC Rotterdam (Rubroek),"€1,350 per month",69 m²/2 rooms/Furnished,69 m²,2 rooms,Furnished
Apartment Wilgenlei,3052 CJ Rotterdam (Schiebroek),"€1,250 per month",60 m²/3 rooms/Upholstered,60 m²,3 rooms,Upholstered
House Berkelselaan,3037 PB Rotterdam (Liskwartier),"€2,495 per month",120 m²/4 rooms/Furnished,120 m²,4 rooms,Furnished
Apartment Aelbrechtskolk,3025 HA Rotterdam (Bospolder),"€1,150 per month",61 m²/2 rooms/Upholstered,61 m²,2 rooms,Upholstered
Apartment Abraham Kuyperlaan,3038 PD Rotterdam (Bergpolder),"€1,100 per month",40 m²/1 room/Furnished,40 m²,1 room,Furnished
Apartment Gedempte Zalmhaven,3016 DT Rotterdam (Nieuwe Werk),"€3,450 per month",111 m²/4 rooms/Furnished,111 m²,4 rooms,Furnished
Apartment Aegidiusstraat,3061 XR Rotterdam (Kralingen West),"€1,295 per month",120 m²/3 rooms/Shell,120 m²,3 rooms,Shell
Apartment Jufferstraat 324,3011 XM Rotterdam (Stadsdriehoek),"€1,895 per month",91 m²/3 rooms/Upholstered or furnished,91 m²,3 rooms,Upholstered or furnished
Apartment Jan Pettersonstraat,3077 MN Rotterdam (Oud IJsselmonde),"€1,750 per month",88 m²/3 rooms/Upholstered,88 m²,3 rooms,Upholstered
Apartment Handelsplein,3071 PR Rotterdam (Kop van Zuid - Entrepot),"€2,100 per month",140 m²/3 rooms/Furnished,140 m²,3 rooms,Furnished
Apartment Bree,3074 BB Rotterdam (Hillesluis),€975 per month,65 m²/2 rooms/Upholstered,65 m²,2 rooms,Upholstered
Apartment Ochterveltstraat,3015 XL Rotterdam (Oude Westen),"€1,150 per month",65 m²/2 rooms/Furnished,65 m²,2 rooms,Furnished
Apartment Oostmaaslaan,3063 AV Rotterdam (Struisenburg),"€1,850 per month",55 m²/2 rooms/Furnished,55 m²,2 rooms,Furnished
Apartment Baan,3011 CC Rotterdam (Stadsdriehoek),"€1,825 per month",60 m²/2 rooms/Furnished,60 m²,2 rooms,Furnished
Apartment Walenburgerweg,3039 AD Rotterdam (Provenierswijk),"€1,750 per month",84 m²/2 rooms/Furnished,84 m²,2 rooms,Furnished
Apartment Van Eversdijckstraat,3083 MB Rotterdam (Carnisse),"€1,450 per month",95 m²/4 rooms/Furnished,95 m²,4 rooms,Furnished
Room Nieuwenhoornstraat,3082 VK Rotterdam (Oud Charlois),€685 per month,15 m²/1 room/Furnished,15 m²,1 room,Furnished
Apartment Houtlaan,3016 DA Rotterdam (Nieuwe Werk),"€2,600 per month",125 m²/3 rooms/Upholstered,125 m²,3 rooms,Upholstered
Studio Ossenisseweg,3086 KV Rotterdam (Pendrecht),€950 per month,30 m²/1 room/Furnished,30 m²,1 room,Furnished
Apartment Mathenesserweg 72 03,3026 HE Rotterdam (Spangen),"€1,850 per month",115 m²/6 rooms/1926,115 m²,6 rooms,1926
Apartment Oppert,3011 HV Rotterdam (Stadsdriehoek),"€1,900 per month",93 m²/3 rooms/Furnished,93 m²,3 rooms,Furnished
Apartment Watertorenweg,3063 HA Rotterdam (De Esch),"€1,150 per month",53 m²/2 rooms/Furnished,53 m²,2 rooms,Furnished
Apartment De Savornin Lohmanlaan 87 A02,3038 NE Rotterdam (Bergpolder),"€1,495 per month",95 m²/3 rooms/Furnished,95 m²,3 rooms,Furnished
